"Órgão","Sigla","Unidade","Quantidade"
"CBMMG","CBMMG/11BBM/1Cia","11º Batalhão de Bombeiros Militar","69"
"CBMMG","CBMMG/11BBM/CARTÓRIO","11º Batalhão de Bombeiros Militar / Cartório","36"
"PCMG","PCMG/11DepPC/MONTES CLAROS","11º Departamento de Polícia Civil/MONTES CLAROS - Gabinete/PCMG","10"
"PMMG","PMMG/CPE/BPMMAmb/12CIAPMAMB","12ª Companhia de Polícia Militar de Meio Ambiente","90"
"PMMG","PMMG/17RPM/12Cia PM Ind","12ª Companhia PM Independente","4"
"PMMG","PMMG/12RPM","12ª Região da Polícia Militar de Minas Gerais","252"
"SEJUSP","SEJUSP/12ª RISP","12ª Região Integrada de Segurança Pública / SEJUSP","248"
"DER","DER/URG/ITABIRA","12ª Unidade Regional DER - Itabira","182"
"DER","DER/URG/ITABIRA - NAF","12ª Unidade Regional DER - Itabira - NAF","15"
"DER","DER/URG/ITABIRA - NTE","12ª Unidade Regional DER - Itabira - NTE","60"
"PMMG","PMMG/18RPM/12BPM","12º Batalhão da Polícia Militar de Minas Gerais","42"
"CBMMG","CBMMG/12BBM/1Cia/5Pel","12º Batalhão de Bombeiros Militar","30"
"CBMMG","CBMMG/12BBM","12º Batalhão de Bombeiros Militar","365"
"CBMMG","CBMMG/12BBM/1Cia/1Pel","12º Batalhão de Bombeiros Militar","22"
"CBMMG","CBMMG/12BBM/2Cia/3Pel","12º Batalhão de Bombeiros Militar","67"
"CBMMG","CBMMG/12BBM/2Cia","12º Batalhão de Bombeiros Militar","54"
"CBMMG","CBMMG/12BBM/2Cia/1Pel","12º Batalhão de Bombeiros Militar","77"
"CBMMG","CBMMG/12BBM/2Cia/2Pel","12º Batalhão de Bombeiros Militar","41"
"CBMMG","CBMMG/12BBM/1Cia","12º Batalhão de Bombeiros Militar","30"
"CBMMG","CBMMG/12BBM/CARTÓRIO","12º Batalhão de Bombeiros Militar / Cartório","45"
"PCMG","PCMG/12DepPC/IPATINGA","12º Departamento de Polícia Civil/IPATINGA - Gabinete do Chefe/PCMG","12"
"PMMG","PMMG/11RPM/10BPM/130ª CIA TM","130ª Companhia de Polícia Militar do 10º BPM","43"
"PMMG","PMMG/CPE/BPMMAmb/13CIAPMAMB","13ª Companhia de Polícia Militar de Meio Ambiente","145"
"PMMG","PMMG/CPE/BPMRV/13ª CIA PM RV","13ª Companhia de Polícia Militar Rodoviária","6"
"PMMG","PMMG/11RPM/13Cia PM Ind","13ª Companhia PM Independente da Polícia Militar de Minas Gerais","15"
"PMMG","PMMG/13RPM/13Cia PM Ind MAT","13ª Companhia PM Independente de Policiamento de Meio Ambiente","12"
"PMMG","PMMG/13RPM","13ª Região da PMMG","299"
"SEJUSP","SEJUSP/13ª RISP","13ª Região Integrada de Segurança Pública / SEJUSP","194"
"DER","DER/URG/BRASILIA DE MINAS","13ª Unidade Regional DER - Brasília de Minas","163"
"DER","DER/URG/BRASILIA DE MINAS-NAF","13ª Unidade Regional DER - Brasília de Minas - NAF","38"
"DER","DER/URG/BRASILIA DE MINAS -NTE","13ª Unidade Regional DER - Brasília de Minas - NTE","170"
"PMMG","PMMG/1RPM/13BPM","13º Batalhão da Polícia Militar de Minas Gerais","201"
"PCMG","PCMG/13DepPC/BARBACENA","13º Departamento de Polícia Civil/BARBACENA - Gabinete/PCMG","247"
"PMMG","PMMG/11RPM/10BPM/145ª CIA","145ª Companhia de Polícia Militar do 10º BPM","12"
"PMMG","PMMG/CPE/BPMMAmb/14CIAPMAMB","14ª Companhia de Polícia Militar de Meio Ambiente","36"
"PMMG","PMMG/CPE/BPMRV/14ª CIA PM RV","14ª Companhia de Polícia Militar Rodoviária","21"
"PMMG","PMMG/14RPM/14Cia PM Ind MAT","14ª Companhia PM Independente de Policiamento de Meio Ambiente","10"
"PCMG","PCMG/STRC-CURV/CHEFIA","14ª Coordenadoria de Perícias Curvelo/DPI/Superintendência de Polícia Técnico-Científica","26"
"PMMG","PMMG/14RPM","14ª Região da Polícia Militar de Minas Gerais","98"
"SEJUSP","SEJUSP/14ª RISP","14ª Região Integrada de Segurança Pública / SEJUSP","75"
"DER","DER/URG/PATOS DE MINAS","14ª Unidade Regional DER - Patos de Minas","69"
"DER","DER/URG/PATOS DE MINAS - NAF","14ª Unidade Regional DER - Patos de Minas - NAF","2"
"DER","DER/URG/PATOS DE MINAS - NTE","14ª Unidade Regional DER - Patos de Minas - NTE","36"
"PMMG","PMMG/12RPM/14BPM","14º Batalhão da Polícia Militar de MInas Gerais","121"
"PCMG","PCMG/14DepPC/CURVELO","14º Departamento de Polícia Civil/CURVELO - Gabinete/PCMG","120"
"PMMG","PMMG/15 RPM/19BPM/155Cia","155 CIA - Itambacuri","3"
"PMMG","PMMG/CPE/BPMMAmb/15CIAPMAMB","15ª Companhia de Polícia Militar de Meio Ambiente","25"
"PMMG","PMMG/CPE/BPMRV/15ª CIA PM RV","15ª Companhia de Polícia Militar Rodoviária","6"
"PMMG","PMMG/15RPM/15Cia PM Ind MAT","15ª Companhia PM Independente de Policiamento de Meio Ambiente","11"
"PCMG","PCMG/1DRPC/S LAGOAS/15ªDPC","15ª Delegacia de Polícia Civil - Gabinete/1DRPC/SETE LAGOAS/19DepPC/PCMG","206"
"PCMG","PCMG/2DRPC/UBÁ-15DPC","15ª DELEGACIA DE POLÍCIA DA 2ª DRPC UBÁ","169"
"PMMG","PMMG/15RPM","15ª Região da Polícia Militar","100"
"SEJUSP","SEJUSP/15ª RISP","15ª Região Integrada de Segurança Pública / SEJUSP","3361"
"DER","DER/URG/POÇOS DE CALDAS","15ª Unidade Regional DER - Poços de Caldas","30"
"DER","DER/URG/POÇOS DE CALDAS - NAF","15ª Unidade Regional DER - Poços de Caldas - NAF","21"
"DER","DER/URG/POÇOS DE CALDAS - NTE","15ª Unidade Regional DER - Poços de Caldas - NTE","15"
"PMMG","PMMG/10RPM/15BPM","15º Batalhão da Polícia Militar de MInas Gerais","97"
"PMMG","PMMG/10RPM/15BPM/P3/CREDS-TC","15º BATALHÃO DA POLÍCIA MILITAR DE MINAS GERAIS","4"
"PCMG","PCMG/15DepPC/TEÓFILO OTONI","15º Departamento de Polícia Civil/TEÓFILO OTONI - Gabinete/PCMG","34"
"PMMG","PMMG/CPE/BPMMAmb/16CIAPMAMB","16ª Companhia de Polícia Militar de Meio Ambiente","19"
"PMMG","PMMG/6RPM/16CIAPMIND","16ª Companhia de Polícia Militar Independente","35"
"PMMG","PMMG/CPE/BPMRV/16ª CIA PM RV","16ª Companhia de Polícia Militar Rodoviária","78"
"PCMG","PCMG/SPTC/DPI/16ª COORDENADORI","16ª Coordenadoria de Perícias de Unaí/DPI/Superintendência de Polícia Técnico-Científica","14"
"PCMG","PCMG/1DRPC/S LAGOAS/16ªDPC","16ª Delegacia de Polícia Civil - Gabinete/1DRPC/SETE LAGOAS/19DepPC/PCMG","426"
"PCMG","PCMG/2DRPC/UBÁ-16DPC","16ª DELEGACIA DE POLÍCIA DA 2ª DRPC UBÁ","147"
"PMMG","PMMG/16RPM","16ª Região da Polícia Militar de Minas Gerais","151"
"SEJUSP","SEJUSP/16ª RISP","16ª Região Integrada de Segurança Pública / SEJUSP","255"
"DER","DER/URG/OLIVEIRA","16ª Unidade Regional DER - Oliveira","206"
"DER","DER/URG/OLIVEIRA - NAF","16ª Unidade Regional DER - Oliveira - NAF","52"
"DER","DER/URG/OLIVEIRA - NTE","16ª Unidade Regional DER - Oliveira - NTE","40"
"PMMG","PMMG/1RPM/16BPM","16º Batalhão da Polícia Militar de Minas Gerais","578"
"PCMG","PCMG/16DepPC/UNAÍ","16º Departamento de Polícia Civil/UNAÍ - Gabinete/PCMG","16"
"PMMG","PMMG/CPE/BPMMAmb/17CIAPMAMB","17ª Companhia de Polícia Militar de Meio Ambiente","184"
"PMMG","PMMG/CPE/BPMRV/17ª CIA PM RV","17ª Companhia de Polícia Militar Rodoviária","57"
"PMMG","PMMG/12RPM/17CIA PM IND","17ª Companhia PM Independente da Polícia Militar de Minas Gerais","58"
"PMMG","PMMG/17RPM/17CIA PM Ind PE","17ª Companhia PM Independente de Policiamento Especializado da Polícia Militar","4"
"PCMG","PCMG/3DRPC/JANAÚBA/DAPE","17ª Delegacia de Crimes Contra a Pessoa e Adjunta de Procedimentos Especiais - Gabinete/3DRPC/JANAÚBA/11DepPC/PCMG","397"
"PCMG","PCMG/3DRPC/JANAÚBA/DCCP","17ª Delegacia de Crimes Contra o Patrimônio e Cartas Precatórias - Gabinete/3DRPC/JANAÚBA/11DepPC/PCMG","504"
"PCMG","PCMG/3DRPC/JANAÚBA/DRCH","17ª Delegacia de Repressão aos Crimes de Homicídios - Gabinete/3DRPC/JANAÚBA/11DepPC/PCMG","279"
"PMMG","PMMG/17RPM","17ª Região da PMMG","221"
"PMMG","PMMG/17RPM/EM17RPM","17ª Região de Polícia Militar de Minas Gerais","10"
"SEJUSP","SEJUSP/17ª RISP","17ª Região Integrada de Segurança Pública / SEJUSP","127"
"DER","DER/URG/PONTE NOVA","17ª Unidade Regional DER - Ponte Nova","602"
"DER","DER/URG/PONTE NOVA - NAF","17ª Unidade Regional DER - Ponte Nova - NAF","85"
"DER","DER/URG/PONTE NOVA -NTE","17ª Unidade Regional DER - Ponte Nova - NTE","189"
"PMMG","PMMG/9RPM/17BPM","17º Batalhão da Polícia Militar de MInas Gerais","192"
"PCMG","PCMG/17DepPC/POUSO ALEGRE","17º Departamento de Polícia Civil/POUSO ALEGRE - Gabinete/17DepPC/PCMG","1"
"PMMG","PMMG/CPE/BPMMAmb/18CIAMAMB","18ª Companhia de Polícia Militar de Meio Ambiente","60"
"PMMG","PMMG/CPE/BPMRV/18ª CIA PM RV","18ª Companhia de Polícia Militar Rodoviária","61"
"PCMG","PCMG/SPTC/DPI/18ª COORDENADORI","18ª Coordenadoria de Perícias Curvelo/DPI/Superintendência de Polícia Técnico-Científica","1"
"PCMG","PCMG/5DRPC/PIRAPORA/18DPC","18ª Delegacia de Polícia Civil - Gabinete/5DRPC/PIRAPORA/14DepPC/PCMG","729"
"PMMG","PMMG/18RPM","18ª Região da Polícia Militar de Minas Gerais","80"
"SEJUSP","SEJUSP/18ª RISP","18ª Região Integrada de Segurança Pública / SEJUSP","272"
"DER","DER/URG/MONTE CARMELO","18ª Unidade Regional DER - Monte Carmelo","252"
"DER","DER/URG/MONTE CARMELO - NAF","18ª Unidade Regional DER - Monte Carmelo - NAF","97"
"DER","DER/URG/MONTE CARMELO - NTE","18ª Unidade Regional DER - Monte Carmelo - NTE","31"
"PMMG","PMMG/2RPM/18BPM","18º Batalhão da Polícia Militar de Minas Gerais","108"
"PCMG","PCMG/18DepPC/POÇOS DE CALDAS","18º Departamento de Polícia Civil/POÇOS DE CALDAS/PCMG","9"
"PMMG","PMMG/19RPM/25BPM/192CIA PM","192ª Cia Tático Móvel do 25º BPM","1"
"PMMG","PMMG/7RPM/19Cia PM Ind","19ª Companhia PM Independente da Polícia Militar de Minas Gerais","162"
"PMMG","PMMG/19RPM/19CIA PM Ind PE","19ª Companhia PM Independente de Policiamento Especializado da Polícia Militar","1"
"PCMG","PCMG/SPTC/DPI/19ª COORDENADORI","19ª Coordenadoria de Perícias de Sete Lagoas/DPI/Superintendência de Polícia Técnico-Científica","10"
"PCMG","PCMG/3DRPC/19DPC PORTEIR","19ª Delegacia de Polícia Civil/PORTEIRINHA - Gabinete/3DRPC/JANAÚBA/11DepPC/PCMG","515"
"PMMG","PMMG/19RPM","19ª Região da Polícia Militar de Minas Gerais","283"
"SEJUSP","SEJUSP/19ª RISP","19ª Região Integrada de Segurança Pública / SEJUSP","57"
"DER","DER/URG/ITAJUBA","19ª Unidade Regional DER - Itajubá","272"
"DER","DER/URG/ITAJUBA - NAF","19ª Unidade Regional DER - Itajubá - NAF","12"
"DER","DER/URG/ITAJUBA - NTE","19ª Unidade Regional DER - Itajubá - NTE","81"
"PMMG","PMMG/15RPM/19BPM","19º Batalhão da Polícia Militar de Minas Gerais","329"
"PCMG","PCMG/19DepPC/SETE LAGOAS","19º Departamento De Polícia Civil/SETE LAGOAS - Gabinete/PCMG","14"
"PMMG","PMMG/COMAVE/1ª BRAvE","1ª BASE REGIONAL DE AVIAÇÃO DO ESTADO - COMAVE","86"
"PCMG","PCMG/CGPC/1ªCPP","1ª Comissão Processante Permanente/CGPC/PCMG","9"
"PMMG","PMMG/CPE/BPMMAmb/1CIAPMMAMB","1ª Companhia de Polícia Militar de Meio Ambiente","81"
"PMMG","PMMG/CPE/BPMRV/1ª CIA PM RV","1ª Companhia de Polícia Militar Rodoviária","51"
"CBMMG","CBMMG/1-CIA-IND/3Cia","1ª Companhia Independente","97"
"CBMMG","CBMMG/1-CIA-IND/3Cia/1Pel","1ª Companhia Independente","142"
"CBMMG","CBMMG/1-CIA-IND/1Cia","1ª Companhia Independente","3"
"CBMMG","CBMMG/1-CIA-IND/1Cia/PPV","1ª Companhia Independente","19"
"CBMMG","CBMMG/1-CIA-IND/1Cia/1Pel","1ª Companhia Independente","127"
"CBMMG","CBMMG/1-CIA-IND/2Cia/1Pel","1ª Companhia Independente","156"
"CBMMG","CBMMG/1-CIA-IND","1ª Companhia Independente","188"
"CBMMG","CBMMG/1-CIA-IND/2Cia/3Pel","1ª Companhia Independente","500"
"CBMMG","CBMMG/1-CIA-IND/2Cia/2Pel","1ª Companhia Independente","453"
"CBMMG","CBMMG/1-CIA-IND/2Cia","1ª Companhia Independente","83"
"CBMMG","CBMMG/1-CIA-IND/3Cia/2Pel","1ª Companhia Independente","335"
"CBMMG","CBMMG/1-CIA-IND/CARTÓRIO","1ª Companhia Independente / Cartório","92"
"PCMG","PCMG/5DRPC/GUAXUPÉ/1ªDA","1ª Delegacia Adjunta de Polícia Civil - Gabinete/5DRPC/GUAXUPÉ/18DepPC/PCMG","441"
"PCMG","PCMG/DOPCAD/1DEPIN/GAB","1ª Delegacia de Plantão Especializada de Investigação de Ato Infracional - Gabinete/DOPCAD/DEFAM/PCMG","12"
"PCMG","PCMG/2DRPC/PATROCÍNIO/1DPC","1ª Delegacia de Polícia - Gabinete/2DRPC/PATROCÍNIO/10DepPC/PCMG","24"
"PCMG","PCMG/BH/1DRPC/CENTRO/1DPC","1ª Delegacia de Polícia Civil - Gabinete/1DRPC/CENTRO/1DepPC/BELO HORIZONTE/PCMG","390"
"PCMG","PCMG/CONTAGEM/1DPC","1ª Delegacia de Polícia Civil - Gabinete/1DRPC/CONTAGEM/2DepPC/PCMG","281"
"PCMG","PCMG/1DRPC/IPATINGA/1DPC","1ª Delegacia de Polícia Civil - Gabinete/1DRPC/IPATINGA/12DepPC/PCMG","916"
"PCMG","PCMG/1DRPC/JF/1DPC","1ª Delegacia de Polícia Civil - Gabinete/1DRPC/JUIZ DE FORA/4DepPC/PCMG","344"
"PCMG","PCMG/1DRPC/P CALDAS/1DPC","1ª Delegacia de Polícia Civil - Gabinete/1DRPC/POÇOS DE CALDAS/18DepPC/PCMG","201"
"PCMG","PCMG/1DRPC/UBERLÂND/AISP86","1ª Delegacia de Polícia Civil - Gabinete/1DRPC/UBERLÂNDIA/9DepPC/PCMG","14"
"PCMG","PCMG/BH/2DRPC/BARRE/1DPC","1ª Delegacia de Polícia Civil - Gabinete/2DRPC/BARREIRO/1DepPC/BELO HORIZONTE/PCMG","59"
"PCMG","PCMG/2DRPC/BETIM/1DPC","1ª Delegacia de Polícia Civil - Gabinete/2DRPC/BETIM/2DepPC/PCMG","532"
"PCMG","PCMG/2DRPC/NOVA LIMA/1DPC","1ª Delegacia de Polícia Civil - Gabinete/2DRPC/NOVA LIMA/3DepPC/PCMG","283"
"PCMG","PCMG/3DRPC/ITUIUTABA/1DPC","1ª Delegacia de Polícia Civil - Gabinete/3DRPC/ITUIUTABA/9DepPC/PCMG","266"
"PCMG","PCMG/3DRPC/RIB NEVES/1DPC","1ª Delegacia de Polícia Civil - Gabinete/3DRPC/RIBEIRÃO DAS NEVES/2DepPC/PCMG","77"
"PCMG","PCMG/BH/3DRPC/V NOVA/1DPC","1ª Delegacia de Polícia Civil - Gabinete/3DRPC/VENDA NOVA/1DepPC/BELO HORIZONTE/PCMG","24"
"PCMG","PCMG/3DRPC/VESPASIANO/1DPC","1ª Delegacia de Polícia Civil - Gabinete/3DRPC/VESPASIANO/3DepPC/PCMG","1142"
"PCMG","PCMG/4DRPC/IBIRITÉ/1DPC","1ª Delegacia de Polícia Civil - Gabinete/4DRPC/IBIRITÉ/2DepPC/PCMG","6"
"PCMG","PCMG/BH/4DRPC/LESTE/1DPC","1ª Delegacia de Polícia Civil - Gabinete/4DRPC/LESTE/BELO HORIZONTE/PCMG","164"
"PCMG","PCMG/5DRPC/JUATUBA/1DPC","1ª Delegacia de Polícia Civil - Gabinete/5DRPC/JUATUBA/2DepPC/PCMG","901"
"PCMG","PCMG/BH/5DRPC/SUL/1DPC","1ª Delegacia de Polícia Civil - Gabinete/5DRPC/SUL/BELO HORIZONTE/PCMG","588"
"PCMG","PCMG/BH/6DRPC/NOR/1DPC","1ª Delegacia de Polícia Civil - Gabinete/6DRPC/NOROESTE/1DepPC/BELO HORIZONTE/PCMG","1729"
"PCMG","PCMG/1DRPC/MOC/1DPC","1ª Delegacia de Polícia Civil/MONTES CLAROS - Gabinete/11DepPC/PCMG","1281"
"PCMG","PCMG/4DRPC/SABARÁ/1DPC","1ª Delegacia de Polícia Civil/SABARÁ - Gabinete/4DRPC/3DepPC/PCMG","28"
"PCMG","PCMG/1DRPC/SANTA LUZIA/1DPC","1ª Delegacia de Polícia Civil/SANTA LUZIA - Gabinete/1DRPC/3DepPC/PCMG","232"
"PCMG","PCMG/CONTAGEM/1DEPLAN","1ª Delegacia de Polícia de Plantão - Gabinete/1DRPC/CONTAGEM/2DepPC/PCMG","881"
"PCMG","PCMG/SIPJ/DEF/1ªDECCOR","1ª Delegacia Especializada de Combate à Corrupção - Gabinete/DivECCIFCCOT/DEF/SIPJ/PCMG","28"
"PCMG","PCMG/DEMA/DEOMA/1DEMACA","1ª Delegacia Especializada de Investigação de Crimes Contra o meio Ambiente - Gabinete/DEMA/DEOMA","250"
"PCMG","PCMG/DENARC/DIV/1DERA","1ª Delegacia Especializada de Repressão Antidrogas - Gabinete/DIV/DENARC/PCMG","63"
"PCMG","PCMG/SIPJ/DEF/1ªDECON","1ª Delegacia Especializada em Defesa do Consumidor/DivEICCDC/DEF/SIPJ/PCMG","22"
"PCMG","PCMG/SIPJ/DEF/1ªDEICC","1ª Delegacia Especializada em Investigação de Crimes Cibernéticos/DivEICCDC/DEF/SIPJ/PCMG","224"
"PCMG","PCMG/SIPJ/DEF/1ªDEICCOT","1ª Delegacia Especializada em Investigação de Crimes Contra a Ordem Tributária/DivEIFCCOTAP/DEF/SIPJ/PCMG","23"
"PCMG","PCMG/SIPJ/DEF/1ªDEIF","1ª Delegacia Especializada em Investigação de Fraudes/DivEIFCCOTAP/DEF/SIPJ/PCMG","179"
"PCMG","PCMG/DEPATRI/1DEIRCR","1ª Delegacia Especializada em Investigação e Repressão a Crimes Rurais - Gabinete/DEPATRI/PCMG","185"
"PCMG","PCMG/DEPATRI/1DEIRFR","1ª Delegacia Especializada em Investigação e Repressão ao Furto e Roubo - Gabinete/DEPATRI/PCMG","51"
"PCMG","PCMG/DEPATRI/1DEIRFRDC","1ª Delegacia Especializada em Investigação e Repressão ao Furto, Roubo e Desvio de Carga - Gabinete/DEPATRI/PCMG","89"
"PCMG","PCMG/DEPATRI/1DEIRRB","1ª Delegacia Especializada em Investigação e Repressão ao Roubo a Banco - Gabinete/DEPATRI/PCMG","45"
"PCMG","PCMG/DEICTRAN/1ªPLANTÃO","1ª DELEGACIA PLANTÃO/DEICTRAN/SIPJ/PCMG","131"
"PCMG","PCMG/13DepPC/1DRPC/BARBACENA","1ª Delegacia Regional de Polícia Civil - Barbacena - Gabinete/13DepPC/PCMG","4"
"PCMG","PCMG/BH/1DRPC/CENTRO","1ª Delegacia Regional de Polícia Civil/CENTRO - Gabinete/1DepPC/BELO HORIZONTE/PCMG","5"
"PCMG","PCMG/2DepPC/1DRPC/CONTAGEM","1ª Delegacia Regional de Polícia Civil/CONTAGEM - Gabinete/2DepPC/PCMG","3"
"PCMG","PCMG/14DepPC/1DRPC/CURVELO","1ª Delegacia Regional de Polícia Civil/CURVELO - Gabinete/14DepPC/PCMG","30"
"PCMG","PCMG/7DepPC/1DRPC/DIVINÓPOLIS","1ª Delegacia Regional de Polícia Civil/DIVINÓPOLIS - Gabinete/7DepPC/PCMG","106"
"PCMG","PCMG/8DepPC/1DRPC/G VALADARES","1ª Delegacia Regional de Polícia Civil/GOVERNADOR VALADARES - Gabinete/8DepPC/PCMG","87"
"PCMG","PCMG/12DepPC/1DRPC/IPATINGA","1ª Delegacia Regional de Polícia Civil/IPATINGA - Gabinete/12DepPC/PCMG","57"
"PCMG","PCMG/4DepPC/1DRPC/JUIZ DE FORA","1ª Delegacia Regional de Polícia Civil/JUIZ DE FORA - Gabinete/4DepPC/PCMG","52"
"PCMG","PCMG/6DepPC/1DRPC/LAVRAS","1ª Delegacia Regional de Polícia Civil/LAVRAS - Gabinete/6DepPC/PCMG","41"
"PCMG","PCMG/11DepPC/1DRPC/M CLAROS","1ª Delegacia Regional de Polícia Civil/MONTES CLAROS - Gabinete/11DepPC/PCMG","20"
"PCMG","PCMG/10DepPC/1DRPC/PAT MINAS","1ª Delegacia Regional de Polícia Civil/PATOS DE MINAS - Gabinete/10DepPC/PCMG","43"
"PCMG","PCMG/18DepPC/1DRPC/P CALDAS","1ª Delegacia Regional de Polícia Civil/POÇOS DE CALDAS - Gabinete/18DepPC/PCMG","33"
"PCMG","PCMG/17DepPC/1DRPC/P ALEGRE","1ª Delegacia Regional de Polícia Civil/POUSO ALEGRE - Gabinete/17DepPC/PCMG","12"
"PCMG","PCMG/3DepPC/1DRPC/SANTA LUZIA","1ª Delegacia Regional de Polícia Civil/SANTA LUZIA - Gabinete/3DepPC/PCMG","129"
"PCMG","PCMG/19DepPC/1DRPC/SETE LAGOAS","1ª Delegacia Regional de Polícia Civil/SETE LAGOAS - Gabinete/19DepPC/PCMG","17"
"PCMG","PCMG/15DepPC/1DRPC/T OTONI","1ª Delegacia Regional de Polícia Civil/TEÓFILO OTONI - Gabinete/15DEPPC/PCMG","47"
"PCMG","PCMG/5DepPC/1DRPC/UBERABA","1ª Delegacia Regional de Polícia Civil/UBERABA - Gabinete/5DEPPC/PCMG","9"
"PCMG","PCMG/9DepPC/1DRPC/UBERLÂNDIA","1ª Delegacia Regional de Polícia Civil/UBERLÂNDIA - Gabinete/9DepPC/PCMG","54"
"PCMG","PCMG/16DepPC/1DRPC/UNAÍ","1ª Delegacia Regional de Polícia Civil/UNAÍ - Gabinete/16DepPC/PCMG","52"
"PCMG","PCMG/DPC EXTREMA/1ªDPC","1ª DPC/EXTREMA/1DRPC/POUSO ALEGRE/17DepPC/PCMG","49"
"PCMG","PCMG/3DRPC/RIB NEVES/DEPLAN/1e","1ª Equipe de Plantão/3DRPC/RIBEIRÃO DAS NEVES/2DepPC/PCMG","239"
"PMMG","PMMG/1RPM","1ª Região da Polícia Militar","6"
"SEJUSP","SEJUSP/1ª RISP","1ª Região Integrada de Segurança Pública / SEJUSP","146"
"PCMG","PCMG/CGPC/1ªSPC","1ª Subcorregedoria de Polícia - Gabinete/CGPC/PCMG","69"
"DER","DER/URG/BELO HORIZONTE","1ª Unidade Regional DER - Belo Horizonte","851"
"DER","DER/URG/BELO HORIZONTE - NAF","1ª Unidade Regional DER - Belo Horizonte - NAF","32"
"LEMG","LEMG/VDG1","1ª Vice Diretoria Geral","571"
"PMMG","PMMG/3RPM/1CIA PM IND","1ªCompanhia Independente da Polícia Militar de Minas Gerais","150"
